"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D5,D9,D3";"SOD-323";4;"BAT20J";;;
2;"TP36,TP46,TP39,TP15,TP22,TP28,TP13,TP6,TP67,TP11,TP3,TP34,TP14,TP45,TP75,TP66,TP69,TP70,TP48,TP7,TP41,TP9,TP18,TP35,TP19,TP71,TP52,TP30,TP17,TP20,TP29,TP44,TP59,TP62,TP60,TP55,TP12,TP2,TP1,TP43,TP65,TP37,TP72,TP8,TP31,TP49,TP74,TP16,TP25,TP23,TP5,TP33,TP64,TP58,TP50,TP54,TP57,TP10,TP24,TP27,TP21,TP61,TP53,TP73,TP40,TP56,TP63,TP38,TP47,TP32,TP68,TP4,TP51,TP26,TP42";"Test_Point_SMD_0.8mm";75;"Test_Point_SMD_0.8mm";;;
3;"K5,K48,K7,K33,K17,K19,K46,K4,K39,K36,K28,K40,K25,K47,K32,K45,K22,K21,K23,K35,K29,K27,K31,K51,K6,K18,K16,K52,K38,K3,K26,K34,K41,K43,K30,K49,K20,K50,K44,K42,K37,K24";"HEADER_MALE_1X1_Inkplate";42;"HEADER_MALE_1X1_Inkplate";;;
4;"C1,C4,C13,C56,C7,C2,C60,C58,C9,C12,C11,C57,C55,C3,C59,C6";"0805C";16;"4u7-TMK212AB7475KG-T";;;
5;"C65,C40,C23,C48,C49,C71,C45,C31,C34,C29,C30,C52,C64,C68,C25,C41,C42,C69,C62,C63,C53,C22,C39,C43,C50";"0603C";25;"100n";;;
6;"U6";"SOT-23-5";1;"MCP73831T";;;
7;"C26,C38,C67,C33,C28,C35";"0603C";6;"2u2";;;
8;"R27,R41,R37,R24,R5,R50,R46,R52,R48,R35,R42,R6,R45,R57,R43,R47,R7,R40,R28,R33,R53,R51";"0603R";22;"100k";;;
9;"JP6,JP3,JP8,JP2,JP7";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
10;"PAD4,PAD5,PAD3,PAD1,PAD6,PAD7,PAD2";"PAD_4x4";7;"PAD_4x4";;;
11;"Q4,Q8,Q5";"SOT-23-3";3;"NPN";;;
12;"R32,R34,R38,R22,R20,R23";"0603R";6;"1k";;;
13;"U7";"PCF85063A";1;"PCF85063A";;;
14;"U2";"SOP-16";1;"CH340C";;;
15;"R14";"0603R";1;"47k5-RC0603FR-0747K5L";;;
16;"C5,C10,C8";"0603C";3;"10u-GRM188R61E106KA73J";;;
17;"R12,R9,R8,R11,R10";"0603R";5;"4k7";;;
18;"C61,C17,C16";"0603C";3;"100p";;;
19;"R31,R30";"0603R";2;"33k";;;
20;"C14,C15";"0603C";2;"2u2-GRM188R61E225MA12D";;;
21;"D7,D6";"SOT-23-3";2;"BAT54S";;;
22;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
23;"C54,C51";"0805C";2;"CL21B105KBFNNNG";;;
24;"C32,C70";"2917C";2;"DNP";;;
25;"R29,R56";"0603R";2;"47k";;;
26;"Q6,Q15,Q13,Q3,Q10,Q12";"SOT-23-3";6;"PMOS";;;
27;"Q1";"SOT-23-3";1;"DNP";;;
28;"JP4,JP1";"SMD_JUMPER";2;"SMD_JUMPER";;;
29;"R26,R58";"0603R";2;"47R";;;
30;"R49,R3,R59,R44,R4,R60";"0603R";6;"10k";;;
31;"H4,H1,H2,H3";"Standoff_M3";4;"Standoff_M3";;;
32;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
33;"U8";"TXS0104EPWR";1;"TXS0104EPWR";;;
34;"K12";"SFV8R-1STBE1HLF";1;"SFV8R-1STBE1HLF";;;
35;"C20,C21";"0603C";2;"100n-AC0603KRX7R8BB104";;;
36;"R21";"0603R";1;"0R";;;
37;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
38;"D1,D4";"SOD-323-2";2;"CUS10F30,H3F";;;
39;"U13,U15";"PCAL6416AHF,128";2;"PCAL6416AHF,128";;;
40;"C19,C18";"0603C";2;"10n-AC0603KRX7R8BB103";;;
41;"C44,C27,C24,C66";"1206C";4;"10u";;;
42;"D12,D11";"M4_DIODA";2;"M4_DIODA";;;
43;"K13";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
44;"Q7,Q9";"SOT-23-3";2;"SSM3J358R,LF";;;
45;"R15,R13";"0603R";2;"1M";;;
46;"R17,R18,R55";"0603R";3;"5k1";;;
47;"R1";"0603R";1;"NTC-NCP18XH103F03RB";;;
48;"U1";"VQFN-49";1;"TPS65186RGZ";;;
49;"U10";"SOT26";1;"AP5726WG-7";;;
50;"C36,C37";"0603C";2;"12p";;;
51;"R54";"0603R";1;"15R";;;
52;"C47";"0603C";1;"1u";;;
53;"K10";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
54;"U9";"MCP47A1-SOT23-6";1;"MCP47A1";;;
55;"R16";"0603R";1;"52k3-RC0603FR-0752K3L";;;
56;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
57;"K9";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
58;"K2";"easyC-connector";1;"easyC-SMD";;;
59;"SW3,SW2";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
60;"Q14,Q11,Q2";"SOT-23-3";3;"NMOS";;;
61;"K11";"AXT310124";1;"AXT310124";;;
62;"U5";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
63;"R36,R19";"0603R";2;"DNP";;;
64;"D10";"0402LED";1;"RED";;;
65;"JP5";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
66;"U11";"ED060XC3";1;"ED060XC3";;;
67;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
68;"U14";"ESP32-WROVER";1;"ESP32-WROVER";;;
69;"R39";"0603R";1;"2k49";;;
70;"K15";"FH34SRJ-34S-0.5SH(50)";1;"FH34SRJ-34S-0.5SH(50)";;;
71;"C46";"0603C";1;"4u7";;;
72;"L2";"NR4012";1;"NR4012T2R2M";;;
73;"D8";"LTST-S270GKT";1;"0603LED_SIDE";;;
74;"R25";"0603R";1;"510k";;;
75;"U12";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
76;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
77;"L3";"NR4012";1;"NR4012T220M";;;
78;"U4";"TSSOP-14";1;"MC14093BDTR2G";;;
79;"K8";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
80;"R2";"0603R";1;"43k-RC0603FR-0743KL";;;
81;"U3";"SOT-23-5";1;"TPS3840PL27DBVR";;;
82;"K14";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
83;"D13";"SOD-523";1;"RB510SM-40FHT2R";;;
